,season_end,player,MVP,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blnk,OWS,DWS,WS,WS/48,blnk2,OBPM,DBPM,BPM,VORP
0,1989,Kareem Abdul-Jabbar,0,C,41,LAL,74,74,22.9,4.2,8.9,0.475,0,0,0,4.2,8.9,0.477,0.475,1.6,2.2,0.739,1.4,3.1,4.5,1,0.5,1.1,1.3,2.6,10.1,C,41,LAL,74,1695,12.9,0.511,0.005,0.25,7.3,14.2,11,6.1,1.1,2.9,11.5,20.1,,0.9,2,2.9,0.082,,-2.3,0,-2.3,-0.1
1,1989,Mark Acres,0,C,26,BOS,62,0,10.2,0.9,1.8,0.482,0,0,1,0.9,1.8,0.478,0.487,0.4,0.8,0.542,1,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2,C,26,BOS,62,632,8.2,0.507,0.009,0.421,10.9,15.6,13.3,3.7,1.5,0.6,14.5,10.4,,0.4,0.5,0.9,0.066,,-2.1,-0.4,-2.5,-0.1
2,1989,Michael Adams,0,PG,26,DEN,77,77,36.2,6.1,14.1,0.433,2.2,6.1,0.356,3.9,8,0.49,0.509,4.2,5.1,0.819,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5,PG,26,DEN,77,2787,17.5,0.567,0.431,0.363,2.5,8.3,5.2,22.2,2.7,0.2,12.5,19.7,,5.4,2.9,8.3,0.143,,3.8,-0.6,3.2,3.7
3,1989,Mark Aguirre,0,SF,29,TOT,80,76,32.5,7.3,15.9,0.461,0.6,2.2,0.293,6.7,13.7,0.488,0.481,3.6,4.9,0.733,1.8,3,4.8,3.5,0.6,0.5,2.6,2.9,18.9,SF,29,TOT,80,2597,16.4,0.524,0.137,0.309,6.4,10,8.3,17.9,0.9,0.8,12.6,27.4,,2.4,2.1,4.5,0.082,,1.7,-1.2,0.5,1.7
4,1989,Danny Ainge,0,PG,29,TOT,73,54,32.6,6.6,14.4,0.457,1.6,4.2,0.38,5,10.2,0.488,0.512,2.8,3.3,0.854,1,2.5,3.5,5.5,1.3,0.1,2,2.5,17.5,PG,29,TOT,73,2377,18,0.554,0.29,0.228,3.3,8.7,6,25.3,1.9,0.2,11.1,22.6,,5.2,1.4,6.7,0.135,,4,-1.6,2.3,2.6
5,1989,Mark Alarie,0,PF,25,WSB,74,5,15.4,2.8,5.8,0.478,0.2,0.5,0.342,2.6,5.3,0.491,0.493,1,1.2,0.839,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7,PF,25,WSB,74,1141,13.3,0.531,0.088,0.202,9.5,15.2,12.2,7.8,1,1.1,11.7,18.7,,1.2,1,2.2,0.093,,-0.7,-1,-1.8,0.1
6,1989,Steve Alford,0,PG,24,TOT,66,3,13.7,2.2,4.9,0.457,0.3,0.8,0.364,1.9,4.1,0.476,0.488,0.8,0.9,0.82,0.2,0.9,1.1,1.4,0.7,0,0.7,0.9,5.5,PG,24,TOT,66,906,11.9,0.522,0.17,0.188,1.1,6.8,4,13.2,2.2,0.2,11.4,16.6,,0.7,0.7,1.4,0.072,,-1.7,-1.8,-3.5,-0.3
7,1989,Randy Allen,0,SG,24,SAC,7,0,6.1,1.1,2.7,0.421,0,0.1,0,1.1,2.6,0.444,0.421,0.1,0.3,0.5,0.4,0.6,1,0,0.1,0.1,0.3,1,2.4,SG,24,SAC,7,43,6.9,0.428,0.053,0.105,7.4,10.2,8.7,0,1.1,1.3,9.1,20.9,,-0.1,0,0,-0.035,,-7.1,-5.2,-12.4,-0.1
8,1989,Greg Anderson,0,PF,24,SAS,82,56,29.3,5.6,11.1,0.503,0,0,0,5.6,11.1,0.505,0.503,2.5,4.9,0.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7,PF,24,SAS,82,2401,14.9,0.516,0.003,0.441,11.2,20.2,15.5,3.7,2,2.6,14.2,20.6,,0.4,3.1,3.4,0.069,,-2.4,-0.1,-2.5,-0.3
9,1989,Michael Anderson,0,PG,22,SAS,36,12,20.3,2,4.9,0.417,0,0.2,0.143,2,4.7,0.429,0.42,1.6,2.3,0.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7,PG,22,SAS,36,730,10.5,0.483,0.04,0.469,6.3,7.1,6.7,26.9,2.8,0.2,28.5,15.7,,-0.5,0.6,0.2,0.01,,-3,-0.4,-3.4,-0.3
