"","playDispNm","blkPerGame","trbPerGame","stlPerGame","toPerGame","astPerGame","ptsPerGame","teamWins","mvpScore"
"1","James Harden",0.701492537313433,5.37313432835821,1.82089552238806,4.29850746268657,8.74626865671642,30.7014925373134,56,93.8029850746269
"2","LeBron James",0.921052631578947,8.6578947368421,1.48684210526316,4.21052631578947,9.06578947368421,27.5657894736842,46,87.7565789473684
"3","Anthony Davis",2.47826086956522,11.1159420289855,1.46376811594203,2.14492753623188,2.31884057971015,28.1159420289855,40,85.4014492753623
"4","Russell Westbrook",0.253333333333333,9.73333333333333,1.82666666666667,4.70666666666667,10.1066666666667,25.4,43,84.368
"5","Giannis Antetokounmpo",1.45070422535211,10.0281690140845,1.43661971830986,2.90140845070423,4.76056338028169,27.2957746478873,38,83.0056338028169
"6","Kevin Durant",1.86885245901639,6.73770491803279,0.737704918032787,3.13114754098361,5.36065573770492,26.2950819672131,45,79.0688524590164
"7","Damian Lillard",0.382352941176471,4.54411764705882,1.05882352941176,2.86764705882353,6.55882352941176,26.6470588235294,42,77.6852941176471
"8","Stephen Curry",0.156862745098039,5.11764705882353,1.56862745098039,3,6.05882352941176,26.3921568627451,41,77.6372549019608
"9","DeMarcus Cousins",1.5625,12.8958333333333,1.6875,5.02083333333333,5.33333333333333,25.2083333333333,27,77.23125
"10","DeMar DeRozan",0.243243243243243,3.89189189189189,1.10810810810811,2.24324324324324,5.17567567567568,23.3243243243243,54,73.0513513513513
"11","Victor Oladipo",0.757142857142857,5.27142857142857,2.24285714285714,2.95714285714286,4.14285714285714,23.2428571428571,45,72.5957142857143
"12","Karl-Anthony Towns",1.45454545454545,12.3636363636364,0.792207792207792,1.98701298701299,2.4025974025974,21.2077922077922,44,71.7545454545455
"13","Joel Embiid",1.77777777777778,10.9365079365079,0.634920634920635,3.6984126984127,3.15873015873016,22.9365079365079,41,71.7
"14","Kyrie Irving",0.283333333333333,3.78333333333333,1.08333333333333,2.31666666666667,5.1,24.4333333333333,41,71.065
"15","LaMarcus Aldridge",1.15942028985507,8.33333333333333,0.507246376811594,1.55072463768116,2.05797101449275,23.1159420289855,42,70.1
"16","Jimmy Butler",0.410714285714286,5.44642857142857,1.94642857142857,1.83928571428571,4.98214285714286,22.1964285714286,34,68.6982142857143
"17","Chris Paul",0.240740740740741,5.55555555555556,1.75925925925926,2.25925925925926,8,18.6481481481481,47,68.1277777777778
"18","Paul George",0.513513513513513,5.66216216216216,2.06756756756757,2.7027027027027,3.40540540540541,21.5675675675676,43,67.8094594594595
"19","Bradley Beal",0.44,4.38666666666667,1.18666666666667,2.66666666666667,4.57333333333333,22.8,41,67.744
"20","Kemba Walker",0.310810810810811,3.21621621621622,1.21621621621622,2.2027027027027,5.67567567567568,23.027027027027,34,66.7459459459459
"21","Lou Williams",0.266666666666667,2.57333333333333,1.08,3,5.37333333333333,22.72,41,65.912
"22","C.J. McCollum",0.44,3.92,0.92,1.82666666666667,3.24,21.7066666666667,46,65.3853333333333
"23","Nikola Jokić",0.782608695652174,10.536231884058,1.14492753623188,2.78260869565217,5.98550724637681,17.8405797101449,38,64.8768115942029
"24","Blake Griffin",0.293103448275862,7.39655172413793,0.706896551724138,2.87931034482759,5.75862068965517,21.4137931034483,28,63.998275862069
